Dose,yhat_mean,yhat_SD,d
0.0,4.517506446887699,0.9987945880436456,0.0
0.05,4.517506446887699,0.9987945880436456,0.0
0.1,4.517506446887699,0.9987945880436456,0.0
0.15,4.517506446887699,0.9987945880436456,0.0
0.2,4.517506446887699,0.9987945880436456,0.0
0.25,4.517506446887699,0.9987945880436456,0.0
0.3,4.517506125502414,0.9987959159225555,3.213852854955235e-7
0.35,4.517499184625967,0.9988184456013466,7.262261732421393e-6
0.4,4.517478058783078,0.9988851840968935,2.8388104621690502e-5
0.45,4.517448764259504,0.9989746811091027,5.768262819572101e-5
0.5,4.517391948239792,0.9991290700509856,0.00011449864790691322
0.55,4.517297181773438,0.9993788361881857,0.0002092651142611146
0.6,4.517099157163011,0.9998725571355894,0.0004072897246887308
0.65,4.5167196744108615,1.0007859610813223,0.0007867724768377826
0.7,4.516050562462729,1.002325944511443,0.0014558844249705771
0.75,4.514870638275784,1.004865634380043,0.002635808611914925
0.8,4.512885320147185,1.0088792558492305,0.004621126740514292
0.85,4.509616940567331,1.0150106385853037,0.007889506320368334
0.9,4.504421583849279,1.0239599617711737,0.01308486303842038
0.95,4.496393115137925,1.0364896287495466,0.021113331749774034
1.0,4.484487910427795,1.053131671267639,0.03301853645990427
1.05,4.467647793309493,1.0741911946100666,0.04985865357820618
1.1,4.444936468503231,1.0993057152011978,0.07256997838446821
1.15,4.415477756647566,1.127552174292479,0.10202869024013328
1.2,4.378036829063418,1.1579054758460547,0.13946961782428158
1.25,4.331982636742496,1.1886059963036923,0.18552381014520325
1.3,4.277151130710397,1.2183016342843018,0.24035531617730221
1.35,4.212392562994435,1.244811564006454,0.3051138838932639
1.4,4.138959171142894,1.266556452319797,0.37854727574480496
1.45,4.0573217664496655,1.2819451921484304,0.46018468043803384
1.5,3.968472644168042,1.2897953705706346,0.5490338027196575
1.55,3.8742016554093004,1.290114613775469,0.6433047914783989
1.6,3.7759873174133434,1.283007698345755,0.7415191294743559
1.65,3.67555485564896,1.2694844739768871,0.8419515912387392
1.7,3.5743452748808733,1.250581395529313,0.943161172006826
1.75,3.4730843504965394,1.2267869076873492,1.04442209639116
1.8,3.3728431500174163,1.1997017311771234,1.144663296870283
1.85,3.274133335373329,1.1700467558410086,1.2433731115143702
1.9,3.1775593435534732,1.139208252148284,1.339947103334226
1.95,3.083444517835839,1.108079757710733,1.4340619290518601
2.0,2.9918037245219424,1.0768320581691087,1.5257027223657569
2.05,2.902709798638767,1.045871099763521,1.6147966482489324
2.1,2.816126090884934,1.0152187942520294,1.7013803560027654
2.15,2.732031403673989,0.9850276087753905,1.7854750432137103
2.2,2.650441320409792,0.9557035258158643,1.8670651264779075
2.25,2.571269200021191,0.9271554217627609,1.9462372468665081
2.3,2.494462053570538,0.8994600866102757,2.023044393317161
2.35,2.4199492362184647,0.8725920470451364,2.0975572106692346
2.4,2.347662213378598,0.8465265906749831,2.1698442335091013
2.45,2.2775344976815597,0.8212397432986718,2.2399719492061396
