Dose,yhat_mean,yhat_SD,d
0.0,4.49490312993928,1.0111193634370792,0.0
0.05,4.49490312993928,1.0111193634370792,0.0
0.1,4.49490312993928,1.0111193634370792,0.0
0.15,4.49490312993928,1.0111193634370792,0.0
0.2,4.49490312993928,1.0111193634370792,0.0
0.25,4.49490312993928,1.0111193634370792,0.0
0.3,4.49490312993928,1.0111193634370792,0.0
0.35,4.494888308614093,1.011103331994721,1.4821325186709089e-5
0.4,4.494861496181943,1.011089900852113,4.1633757336789756e-5
0.45,4.494797800016076,1.011068141317099,0.00010532992320388956
0.5,4.494666200977188,1.0110218984021417,0.00023692896209137615
0.55,4.494475170021512,1.010971372998391,0.00042795991776767295
0.6,4.494108530656552,1.0109719537036304,0.000794599282727404
0.65,4.493369555099078,1.0110496491897627,0.001533574840201446
0.7,4.491977758841843,1.011102444922044,0.0029253710974366243
0.75,4.489642009502888,1.0112581310882092,0.0052611204363914865
0.8,4.485735825518964,1.0113370198896061,0.009167304420315325
0.85,4.479778592283606,1.0115774564535034,0.015124537655673898
0.9,4.470986361668175,1.0118382231149903,0.02391676827110434
0.95,4.458851873582178,1.012508956202605,0.03605125635710138
1.0,4.441922068584911,1.0134117317503264,0.05298106135436864
1.05,4.418730375336298,1.0145164471435326,0.07617275460298156
1.1,4.38826424330473,1.015770945437464,0.10663888663455001
1.15,4.3493276839109365,1.0170135078598714,0.14557544602834316
1.2,4.3014288213659375,1.0181946569670286,0.19347430857334214
1.25,4.244446023342361,1.0188197305559692,0.2504571065969188
1.3,4.1791300254051995,1.0188127814020163,0.31577310453408014
1.35,4.104920967240415,1.0167123965284928,0.3899821626988649
1.4,4.022535551436075,1.0120576504307712,0.47236757850320465
1.45,3.933857297679654,1.0044988418957304,0.5610458322596257
1.5,3.840445128873986,0.9943842836735736,0.6544580010652936
1.55,3.7437855942700704,0.9813695762404998,0.7511175356692092
1.6,3.644670880213354,0.9647851338262681,0.8502322497259258
1.65,3.544743674675538,0.9462241904458305,0.9501594552637416
1.7,3.4447419376948973,0.9254598913696431,1.0501611922443823
1.75,3.345552669886843,0.9030168446877692,1.1493504600524367
1.8,3.2479929850719844,0.8797927842290411,1.2469101448672952
1.85,3.152405036879124,0.8561595462793006,1.3424980930601556
1.9,3.0590842709445685,0.8323649359570782,1.4358188589947112
1.95,2.9681884613814873,0.8085740874183772,1.5267146685577924
2.0,2.8797693166209135,0.7850053919279188,1.6151338133183661
2.05,2.7938555572501835,0.7618489266412778,1.7010475726890961
2.1,2.7104430330070186,0.7391943546365929,1.784460096932261
2.15,2.6295028072864333,0.7171583572628092,1.8654003226528464
2.2,2.5509590486532514,0.6957375433281943,1.9439440812860282
2.25,2.4747585927702516,0.6749549603994266,2.020144537169028
2.3,2.4008343433515793,0.6547931801818724,2.0940687865877003
2.35,2.3291183071574517,0.6352336584932433,2.165784822781828
2.4,2.2595445219943633,0.6162584050900319,2.2353586079449164
2.45,2.1920489960450915,0.5978499671206405,2.302854133894188
2.5,2.126569649011006,0.5799914130727895,2.3683334809282734
2.55,2.0630462550125266,0.5626663172004336,2.431856874926753
2.6,2.0014203871952185,0.5458587444158696,2.493482742744061
2.65,1.941635363990585,0.5295532356331354,2.5532677659486946
2.7,1.8836361969821036,0.5137347935492195,2.611266932957176
2.75,1.8273695403285863,0.49838886885000644,2.6675335896106933
