Dose,yhat_mean,yhat_SD,d
0.0,4.482754016965307,0.9943444691066542,0.0
0.05,4.482754016965307,0.9943444691066542,0.0
0.1,4.482754016965307,0.9943444691066542,0.0
0.15,4.482754016965307,0.9943444691066542,0.0
0.2,4.482754016965307,0.9943444691066542,0.0
0.25,4.482754016965307,0.9943444691066542,0.0
0.3,4.482742977728046,0.9943095402353558,1.1039237261201151e-5
0.35,4.482720355138403,0.9942417866905627,3.3661826904562986e-5
0.4,4.482680064616621,0.9941343325149364,7.395234868656786e-5
0.45,4.482539301854793,0.9937552299031126,0.00021471511051451841
0.5,4.48228710808301,0.9931060204005769,0.000466908882297723
0.55,4.481877982185956,0.9920859637036347,0.0008760347793517198
0.6,4.481227200486553,0.9905383956943042,0.0015268164787540783
0.65,4.479860363283353,0.9875121321384105,0.002893653681954156
0.7,4.477617420523782,0.9828614839801381,0.0051365964415248655
0.75,4.474076688316641,0.9759371764260373,0.008677328648666105
0.8,4.468797577893426,0.9664644927611626,0.013956439071881377
0.85,4.461007923246507,0.9537810706953743,0.021746093718800097
0.9,4.449667448082206,0.937005059780451,0.033086568883101464
0.95,4.433616111820768,0.9153747589788981,0.04913790514453886
1.0,4.411574732555785,0.8884821965820855,0.07117928440952248
1.05,4.382036734279204,0.8561812578967483,0.10071728268610336
1.1,4.344726377701413,0.8195592561149556,0.13802763926389439
1.15,4.2988039340712305,0.7794025430422928,0.18395008289407677
1.2,4.243888750603357,0.7369760342202386,0.23886526636194994
1.25,4.1801094836629025,0.6933201669300649,0.3026445333024048
1.3,4.107432924735122,0.6495695197912564,0.3753210922301857
1.35,4.02680253774193,0.6072637525428822,0.4559514792233772
1.4,3.9395599716206227,0.5672654690049062,0.5431940453446846
1.45,3.8469229787760355,0.5303269411472719,0.6358310381892718
1.5,3.7503122948120007,0.49731930695148646,0.7324417221533066
1.55,3.6511102770347503,0.468736090222847,0.831643739930557
1.6,3.550575759184281,0.4440400420452835,0.9321782577810263
1.65,3.450108226975581,0.42297158983442434,1.0326457899897261
1.7,3.3505683431739426,0.40473106343672316,1.1321856737913647
1.75,3.252588381619273,0.388860322908927,1.2301656353460344
1.8,3.1567272734563003,0.3745700488791482,1.326026743509007
1.85,3.063140208130679,0.3617466874909775,1.4196138088346282
1.9,2.9719852303188947,0.3500142145693264,1.5107687866464126
1.95,2.883383322527644,0.33902452201427613,1.5993706944376633
2.0,2.7973337519196253,0.3286368817564156,1.685420265045682
2.05,2.7138061567380922,0.31870024121705515,1.768947860227215
2.1,2.632755128827835,0.30912483687086695,1.8499988881374723
2.15,2.5541191577338616,0.2998611789419765,1.9286348592314457
2.2,2.477826008685965,0.29089777484237866,2.004928008279342
2.25,2.4038101315748435,0.2822082809557395,2.078943885390464
2.3,2.332005204726301,0.2737783535234909,2.1507488122390064
2.35,2.2623451841879514,0.265600238958931,2.220408832777356
2.4,2.194765998825944,0.25766641528505074,2.2879880181393633
2.45,2.1292054913943024,0.2499695852160518,2.353548525571005
2.5,2.065603361364623,0.2425026694455288,2.4171506556006843
2.55,2.003901109463505,0.23525880013514172,2.4788529075018024
2.6,1.944041983866728,0.22823131459779072,2.5387120330985793
2.65,1.8859709280006842,0.22141374916948273,2.596783088964623
2.7,1.8296345299030319,0.21479983326425245,2.653119487062275
2.75,1.7749809730960369,0.20838348360667194,2.7077730438692704
2.8,1.7219599889273676,0.20215879863664116,2.7607940280379397
2.85,1.6705228103345464,0.1961200530813159,2.812231206630761
2.9,1.6206221269905137,0.19026169268917867,2.8621318899747936
2.95,1.5722120417890477,0.1845783291214096,2.9105419751762596
3.0,1.5252480286300298,0.17906473499585943,2.9575059883352774
3.05,1.4796868914657102,0.17371583907906432,3.003067125499597
3.1,1.4354867245703171,0.16852672162188248,3.04726729239499
3.15,1.3926068739964714,0.163492609834461,3.090147142968836
3.2,1.351007900182935,0.15860887349637104,3.1317461167823724
3.25,1.310651541679327,0.15387102069787426,3.17210247528598
3.3,1.2715006799544213,0.14927469370840318,3.211253337010886
3.35,1.2335193052556692,0.14481566496845508,3.2492347117096383
3.4,1.1966724834885436,0.14048983320121375,3.2860815334767635
3.45,1.1609263240852363,0.13629321964032148,3.321827692880071
3.5,1.1262479488331627,0.13222196437033304,3.356506068132145
3.55,1.0926054616345982,0.12827232277648457,3.3901485553307094
3.6,1.0599679191696312,0.1244406621005126,3.422786097795676
3.65,1.0283053024354576,0.1207234580993557,3.4544487145298497
3.7,0.9975884891358261,0.11711729180366398,3.4851655278294813
3.75,0.9677892268952525,0.11361884637313739,3.5149647900700547
3.8,0.9388801072733568,0.11022490404579807,3.5438739096919507
3.85,0.9108345405554279,0.10693234317839254,3.5719194764098794
3.9,0.8836267312960248,0.10373813537520078,3.5991272856692826
3.95,0.8572316545931237,0.10063934270261125,3.6255223623721835
4.0,0.831625033070987,0.09763311498690057,3.65112898389432
4.05,0.8067833145505825,0.09471668719273163,3.675970702414725
4.1,0.782683650387017,0.09188737687995967,3.70007036657829
4.15,0.7593038744540601,0.08914258173640667,3.723450142511247
4.2,0.7366224827564267,0.08647977718433524,3.746131534208881
4.25,0.714618613651064,0.08389651405841969,3.7681354033142433
4.3,0.6932720286592601,0.08139041635307977,3.789481988306047
4.35,0.6725630938519149,0.078959179037104,3.8101909231133924
4.4,0.6524727617908599,0.07660056593355331,3.830281255174447
4.45,0.6329825540096133,0.0743124076629946,3.849771462955694
4.5,0.6140745440174568,0.0720925996481725,3.8686794729478504
4.55,0.5957313408112043,0.0699391001782843,3.887022676154103
4.6,0.5779360728794943,0.06784992853107748,3.904817944085813
4.65,0.5606723726848957,0.06582316315104261,3.9220816442804116
4.7,0.5439243616095524,0.06385693988202601,3.9388296553557547
4.75,0.527676635350521,0.0619494502526364,3.955077381614786
4.8,0.5119142497513697,0.06009893981286895,3.9708397672139375
4.85,0.4966227070570047,0.058303706520416346,3.9861313099083024
4.9,0.4817879425790832,0.05656209917518283,4.000966074386224
4.95,0.46739631175974866,0.05487251590056155,4.015357705205559
5.0,0.45343457762178657,0.053233402670077756,4.029319439343521
